,ax
784,5575.280881268753
785,5566.471276692869
786,5567.059411546194
787,5564.202476574395
788,5573.451836369126
789,5568.499459435666
790,5566.047293149121
791,5569.180501113132
792,5567.091120585182
793,5569.173195991341
794,5565.553229403022
795,5568.990919933601
796,5569.884537351134
797,5562.587189962309
798,5565.300064405303
799,5560.706685545752
800,5568.140153568229
801,5562.6546144087315
802,5564.836004668097
803,5567.298847292845
804,5563.644349834059
805,5569.016928567053
806,5566.5367575401915
807,5573.821027904867
808,5551.561648317485
809,5565.414949473971
810,5578.507509462067
811,5566.52959762993
812,5565.991072772813
813,5560.375250035946
814,5565.2100252724385
815,5568.027366296351
816,5560.987423932213
817,5567.670879283651
818,5563.193024444472
819,5565.1673336823815
820,5569.660263649039
821,5570.357712562042
822,5559.876273540673
823,5556.718288970344
824,5560.404568772788
825,5549.765099039241
826,5569.6268629920705
827,5568.055826327082
828,5569.121497072396
829,5557.337209220482
830,5567.22239776967
831,5572.097811554817
832,5571.759319021909
833,5568.948082172762
834,5552.576196012165
835,5537.087540589466
836,5546.5618044691555
837,5546.1537271921625
838,5555.082485490244
839,5537.157030330219
840,5552.316179814258
841,5541.635076365875
842,5548.779864085452
843,5549.605804976769
844,5538.537851074605
845,5545.610792045085
846,5536.152470173051
847,5539.42883960147
848,5526.93302637963
849,5546.648203334336
850,5547.076252429151
851,5548.428217152548
852,5549.667780692661
853,5570.086238736287
854,5583.154049328466
855,5581.907824623373
856,5588.91345388265
857,5583.417464928812
858,5569.66930274108
859,5551.342283728769
860,5557.86348374581
861,5565.8023772885235
862,5573.340657577585
863,5592.08124948427
864,5580.743451852194
865,5563.083236056003
866,5563.676334265078
867,5567.526696440143
868,5565.451194183338
869,5558.911938763323
870,5560.580107039768
871,5562.8864209345265
872,5582.94282521009
873,5572.124617987366
874,5570.025430649593
875,5569.1544318547685
876,5564.533816579753
877,5557.729479290028
878,5555.807597797961
879,5553.656379697175
880,5561.073199195193
881,5562.342595457661
882,5559.220866488547
883,5557.065181952629
884,5558.552821609941
885,5557.72342656962
886,5554.874403815803
887,5553.681739771473
888,5559.751138817171
889,5556.843211858059
890,5555.09081912963
891,5556.729311068626
892,5555.156080041612
893,5553.829258439487
894,5556.936614243044
895,5561.80858772175
896,5561.340709937614
897,5556.390519097128
898,5555.660997728879
899,5567.650542235109
900,5576.77429977785
901,5579.405634448874
902,5572.046814419823
903,5564.7160768447075
904,5560.49518748833
905,5560.737200575388
906,5559.496297374135
907,5561.167297440754
908,5564.794659918671
909,5561.072978229254
910,5563.522601547608
911,5557.324600437426
912,5563.799402856747
913,5557.443663889456
914,5560.8516388238395
915,5560.259063152085
916,5560.704132159716
917,5561.099666542976
918,5554.4122742434665
919,5559.904338274532
920,5556.867465771717
921,5552.360887340594
922,5551.369075192596
923,5555.654184225472
924,5558.655605474241
925,5555.812075635766
926,5559.24588134342
927,5558.309521989332
928,5556.383533488964
929,5553.926499375302
930,5540.779543887172
931,5534.296897937956
932,5535.448291959456
933,5552.853006530618
934,5552.135033287292
935,5553.033464997542
936,5553.893061733352
937,5529.80441048138
938,5548.320367532788
939,5537.864674306647
940,5561.261457666547
941,5545.671322136466
942,5531.590792671878
943,5534.5964547527865
944,5547.291653277183
945,5558.090847636624
946,5554.2704543510945
947,5551.53609794015
948,5551.603249303105
949,5553.333048478878
950,5555.974291366908
951,5549.405861184277
952,5552.303208868739
953,5559.809508794198
954,5554.55059402857
955,5550.799974961065
956,5557.454178248904
957,5554.514079337781
958,5552.960729422038
959,5546.138262575633
960,5551.513098451077
961,5554.529566188366
962,5551.322588849972
963,5553.6254617467575
964,5550.069511002744
965,5543.848235827672
966,5547.53572311523
967,5548.813673148349
968,5545.894268048809
969,5554.001595971439
970,5546.4337466686
971,5556.825313367002
972,5556.320095047126
973,5554.926724844909
974,5547.68001644569
975,5548.320977306893
976,5560.754186292867
977,5557.825889734008
978,5552.686819253312
979,5554.482653036048
980,5554.392919541219
981,5550.366924008682
982,5553.644535897843
983,5553.885560863176
984,5555.39173849085
985,5556.51390731572
986,5555.479508240319
987,5551.382579975022
988,5556.954304084224
989,5550.97836386623
990,5551.694690169525
991,5563.0420082382825
992,5549.666015742084
993,5559.709204044932
994,5546.662162455775
995,5556.244550986933
996,5555.962325919808
997,5532.369749727955
998,5545.579106863516
999,5553.809426396756
1000,5544.104052614161
1001,5555.150076115363
1002,5550.872978412467
1003,5541.738869026152
1004,5554.729475601498
1005,5547.870220299352
1006,5552.619789150712
1007,5553.437619410284
1008,5555.330608234749
1009,5548.362680688492
1010,5555.741910206755
1011,5546.494853270214
1012,5546.224188189316
1013,5551.784321893228
1014,5555.178893771755
1015,5550.314350890995
1016,5545.326836108923
1017,5551.207360692857
1018,5543.83114043244
1019,5549.601921253737
1020,5551.188367642276
1021,5552.247474838299
1022,5555.240979889744
1023,5553.241775397278
1024,5551.031659405383
1025,5541.347253420785
1026,5551.117929561582
1027,5547.092208528836
1028,5548.502925055856
1029,5554.678930289337
1030,5550.106663254761
1031,5550.015987109102
1032,5545.688388758107
1033,5556.14339557187
1034,5552.74145408544
1035,5551.218881565521
1036,5551.828258990112
1037,5550.342667828599
1038,5554.068751421731
1039,5556.182780349883
1040,5553.4104407664245
1041,5557.668602153048
1042,5556.106805295277
1043,5539.262121332079
1044,5557.24041296838
1045,5551.315738271247
1046,5554.836157365155
1047,5552.461139531725
1048,5550.964090552698
1049,5552.977822198235
1050,5550.554059725852
1051,5557.341465861331
1052,5556.414227216002
1053,5556.1655860252085
1054,5555.46348065354
1055,5554.695126601621
1056,5545.078329492035
1057,5549.461397359631
1058,5552.573529322513
1059,5550.397916398872
1060,5552.333672842598
1061,5547.787994177373
1062,5548.729285120239
1063,5550.215568266193
1064,5546.6757048266845
